from_id,from_name,message,created_time,type,link,id,likes_count,comments_count,shares_count,post_id
148528951956339,H√©ctor Baldassi,"Ì†ΩÌ¥äPARA LOS CLUBES DE BARRIO

Los esperamos a todos, ma√±ana y a las 17.30, en el Concejo Deliberante de C√≥rdoba. 

Vamos por los pibes. Vamos por los Clubes de Barrio!",2016-12-15T13:15:13+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.157260014416566.39515.148528951956339/835110053298222/?type=3,148528951956339_835110053298222,43,3,11,148528951956339_835110053298222
148528951956339,H√©ctor Baldassi,"UN A√ëO DESPU√âS, OTRA ARGENTINA

Les comparto por ac√° una editorial sobre los primeros 12 meses de Mauricio Macri. Y que public√≥ hoy La Voz del Interior.",2016-12-13T12:52:15+0000,link,http://www.lavoz.com.ar/opinion/un-ano-despues-otra-argentina,148528951956339_833966030079291,100,5,22,148528951956339_833966030079291
148528951956339,H√©ctor Baldassi,NA,2016-12-11T22:49:05+0000,video,https://www.facebook.com/mauriciomacri/videos/10154869133768478/,148528951956339_832940576848503,73,3,0,148528951956339_832940576848503
148528951956339,H√©ctor Baldassi,"ARMA MORTAL. Y MI PRIMER SUBPRECL√ÅSICO 

Son much√≠simas las sensaciones que tiene un √°rbitro cuando le avisan que por primera vez va a dirigir un Boca - River o River ‚Äì Boca. En mi caso, sucedi√≥ en el a√±o 2001 y lo recuerdo como si fuese ayer.

Ni bien me enter√© de la elecci√≥n, me puse feliz, chocho. Es que tanto esfuerzo hab√≠a dado sus frutos. Lo cierto es que mientras los d√≠as pasan  y se acerca el domingo, la ansiedad, los nervios y los malos pensamientos aparecen por todos lados. Y yo no fui la excepci√≥n.

El viernes anterior al partido, tuve que llamar a mi psic√≥logo y √©l me recomend√≥ 3 cosas: que no entrenara solo, que fuera a ver f√∫tbol y que mirara una pel√≠cula de acci√≥n.

Y as√≠ fue como el s√°bado entren√© en grupo, despu√©s fui a la cancha de Comunicaciones y, por √∫ltimo, mir√© Arma Mortal dos veces seguidas. Me la s√© de memoria‚Ä¶

Ya el domingo, la adrenalina pudo m√°s y, ni bien hice sonar el silbato, empec√© a correr como lo hacen los perros que viven en departamento y el due√±o los suelta en el parque: de ac√° para all√°, sin parar.

A los 5 del primer tiempo y con el estadio repleto, sent√≠ que alguien me gritaba: ‚Äú¬°¬°¬°Conejaaaa!!!! ¬°¬°¬°¬°Conejaaaaa!!!!‚Äù. No s√© c√≥mo hice pero lo escuch√©: era Horacio Elizondo, el cuatro √°rbitro, que me hac√≠a se√±as para que me tranquilizara.

Por suerte tuve una buena tarde y despu√©s pude dirigir 18 supercl√°sicos m√°s. Siempre haciendo respetar el reglamento. Siempre con una sonrisa. 

Que el de hoy sea una fiesta. Y que haya paz.",2016-12-11T13:18:36+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.157260014416566.39515.148528951956339/832649450210949/?type=3,148528951956339_832649450210949,689,66,90,148528951956339_832649450210949
148528951956339,H√©ctor Baldassi,Vamos Argentina!,2016-12-10T15:21:12+0000,photo,https://www.facebook.com/mauriciomacri/photos/a.105382683477.113835.55432788477/10154863431423478/?type=3,148528951956339_831977526944808,995,124,0,148528951956339_831977526944808
148528951956339,H√©ctor Baldassi,Ì†ºÌæÖÌ†ºÌøªÌ†ºÌæÑÌ†ºÌæâÌ†ºÌæäÌ†ºÌæÅ,2016-12-08T17:39:45+0000,photo,https://www.facebook.com/mauriciomacri/photos/a.105382683477.113835.55432788477/10154852070978478/?type=3,148528951956339_830343497108211,420,39,0,148528951956339_830343497108211
148528951956339,H√©ctor Baldassi,"MI √öLTIMA VEZ

Un d√≠a como hoy pero hace 5 a√±os, dirig√≠ mi √∫ltimo partido en el f√∫tbol argentino. Fue un Boca - Banfield en la Bombonera y ni siquiera mis asistentes sab√≠an que esa tarde me retiraba del f√∫tbol.

¬øLos motivos? Siempre cre√≠ en el recambio -en todos los √≥rdenes de la vida- y en que los j√≥venes tengan nuevas oportunidades.

De aquella tarde, entre much√≠simas cosas, recuerdo un di√°logo con Riquelme: ""Est√°s en pedo, ten√©s que seguir"", me dijo. Pero la decisi√≥n ya estaba tomada.

Siempre le voy a estar agradecido a la pelota porque gracias a ella conoc√≠ el mundo y pude ser alguien en la vida. 

Acompa√±o mi √∫ltima vez con la imagen de uno de los tipos m√°s alegres y talentosos que vi dentro de un campo de juego.

¬°Buen domingo para todos!",2016-12-04T14:03:49+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.157260014416566.39515.148528951956339/827712754037952/?type=3,148528951956339_827712754037952,1170,83,75,148528951956339_827712754037952
148528951956339,H√©ctor Baldassi,"En el Club La Quebrada de R√≠o Ceballos!  Feliz de poder dar una mano y compartir la pr√°ctica con las chicas de handball! 

¬°Vivan los clubes de barrio! ‚ù§Ô∏è",2016-12-02T17:05:29+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.157260014416566.39515.148528951956339/826389240836970/?type=3,148528951956339_826389240836970,111,5,6,148528951956339_826389240836970
148528951956339,H√©ctor Baldassi,"VEN√ç, TE ESPERO Ì†ΩÌ≥ö

Desde las 17 presentar√© mi libro ""Qu√© Cobr√°s?"" en el CPC de Monse√±or Pablo Cabrera, en C√≥rdoba capital. 

Est√°n todos invitados!",2016-11-29T17:49:12+0000,status,NA,148528951956339_824416234367604,94,12,5,148528951956339_824416234367604
148528951956339,H√©ctor Baldassi,"Qu√© tragedia! Cu√°nta tristeza!
El mundo del deporte est√° de luto. Mi abrazo y solidaridad al pueblo brasile√±o.",2016-11-29T12:32:25+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.300584306750802.1073741838.148528951956339/824300541045840/?type=3,148528951956339_824268477715713,182,5,13,148528951956339_824268477715713
148528951956339,H√©ctor Baldassi,"Qu√© tragedia lo de Chapacoense! Cu√°nto dolor! El deporte mundial est√° de luto. 
Mi abrazo de coraz√≥n a los familiares de las v√≠ctimas. Y a todo el pueblo brasilero.",2016-11-29T10:39:08+0000,status,NA,148528951956339_824214441054450,215,5,4,148528951956339_824214441054450
148528951956339,H√©ctor Baldassi,"Este equipo es el orgullo de todos!
ENORME, Argentina. 
#CopaDavis
Ì†ºÌ∑¶Ì†ºÌ∑∑Ì†ºÌ∑¶Ì†ºÌ∑∑Ì†ºÌ∑¶Ì†ºÌ∑∑Ì†ºÌ∑¶Ì†ºÌ∑∑Ì†ºÌ∑¶Ì†ºÌ∑∑Ì†ºÌ∑¶Ì†ºÌ∑∑Ì†ºÌ∑¶Ì†ºÌ∑∑Ì†ºÌ∑¶Ì†ºÌ∑∑",2016-11-27T20:56:45+0000,status,NA,148528951956339_823276707814890,275,1,11,148528951956339_823276707814890
148528951956339,H√©ctor Baldassi,Gracias Villa Mar√≠a y a toda la gente del Rotary por la atenci√≥n y por tomarse un tiempito para venir a escucharme. ¬°Un placer! Ì†ΩÌπåÌ†ºÌøªÌ†ΩÌπåÌ†ºÌøª,2016-11-25T17:26:09+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.157260014416566.39515.148528951956339/821893841286510/?type=3,148528951956339_821893841286510,68,2,3,148528951956339_821893841286510
148528951956339,H√©ctor Baldassi,"QU√â ORGULLO! Ì†ºÌøå‚õ≥Ô∏è

¬°Felicitaciones, Villa Allende! 
Desde ayer, capital Nacional del Golf ‚ù§Ô∏è",2016-11-24T15:55:53+0000,video,https://www.facebook.com/hectorbaldassi/videos/821209124688315/,148528951956339_821209124688315,264,16,77,148528951956339_821209124688315
148528951956339,H√©ctor Baldassi,NA,2016-11-23T17:33:51+0000,photo,https://www.facebook.com/mauriciomacri/photos/a.105382683477.113835.55432788477/10154800363678478/?type=3,148528951956339_820613304747897,83,8,0,148528951956339_820613304747897
148528951956339,H√©ctor Baldassi,Cambiamos. Un a√±o atr√°s. Para vivir mejor.,2016-11-22T14:44:10+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.157260014416566.39515.148528951956339/820024981473396/?type=3,148528951956339_820024981473396,237,13,25,148528951956339_820024981473396
148528951956339,H√©ctor Baldassi,"EL DEPORTE EDUCA

Seguimos llevando el mensaje del deporte a cada rinc√≥n de C√≥rdoba y el pa√≠s. Queremos m√°s pibes en los clubes y menos en la calle. Vamos por eso!",2016-11-21T16:48:04+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.157260014416566.39515.148528951956339/819465501529344/?type=3,148528951956339_819465501529344,113,4,18,148528951956339_819465501529344
148528951956339,H√©ctor Baldassi,NA,2016-11-17T14:37:13+0000,photo,https://www.facebook.com/mauriciomacri/photos/a.105382683477.113835.55432788477/10154779444748478/?type=3,148528951956339_817079265101301,73,1,0,148528951956339_817079265101301
148528951956339,H√©ctor Baldassi,"‚öΩÔ∏è En Bell Ville, capital nacional de la pelota. FELIZ de participar en semejante fiesta ‚öΩÔ∏è",2016-11-13T21:55:35+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.300584306750802.1073741838.148528951956339/815318048610756/?type=3,148528951956339_815317945277433,470,5,15,148528951956339_815317945277433
148528951956339,H√©ctor Baldassi,"VOCES DEL DEPORTE, VOCES DE LA PASI√ìN

Fue un honor reconocer a las voces del deporte que se hicieron presentes ayer en el Congreso de la Naci√≥n. Grandes profesionales del periodismo deportivo que han sabido llegar a la gente a trav√©s de la diversidad de sus opiniones, demostrando que cuando se discute por deporte no se discute por poder, sino por pasi√≥n.. Ellos le ponen el pecho a esa pasi√≥n tan nuestra, gracias!

Debajo les comparto un video con algunas im√°genes del reconocimiento:",2016-11-08T15:13:11+0000,link,http://diputados.gob.ar/prensa/noticias/2016/noticia_0053.html,148528951956339_812271445582083,70,2,4,148528951956339_812271445582083
148528951956339,H√©ctor Baldassi,La garra de los que se levantan temprano a laburar me llena de orgullo.. Ellos y todos sabemos que con esfuerzo se puede progresar.. ¬°Buen domingo!,2016-11-06T15:25:44+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.157260014416566.39515.148528951956339/811182962357598/?type=3,148528951956339_811182962357598,105,7,5,148528951956339_811182962357598
148528951956339,H√©ctor Baldassi,"Ahora, recorriendo Pauny junto a Mauricio. Orgullo cordob√©s!",2016-11-04T13:06:33+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.300584306750802.1073741838.148528951956339/810017985807429/?type=3,148528951956339_810017902474104,338,12,26,148528951956339_810017902474104
148528951956339,H√©ctor Baldassi,Hermosa ma√±ana en el encuentro que organiz√≥ la fundaci√≥n C√≥rdoba Rugby! ¬°Vamos los pibes!,2016-10-29T15:13:25+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.300584306750802.1073741838.148528951956339/806508152825079/?type=3,148528951956339_806507676158460,85,3,5,148528951956339_806507676158460
148528951956339,H√©ctor Baldassi,El verdadero federalismo se construye con hechos.,2016-10-27T17:20:28+0000,photo,https://www.facebook.com/mauriciomacri/photos/a.105382683477.113835.55432788477/10154707432463478/?type=3,148528951956339_805328009609760,105,11,0,148528951956339_805328009609760
148528951956339,H√©ctor Baldassi,Feliz de recibir en C√≥rdoba al ministro Germ√°n Garavano.,2016-10-24T16:54:24+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.300584306750802.1073741838.148528951956339/803538529788708/?type=3,148528951956339_803537473122147,130,2,4,148528951956339_803537473122147
148528951956339,H√©ctor Baldassi,#65A√±osdeCharlyGarcia,2016-10-23T15:24:24+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.300584306750802.1073741838.148528951956339/802807669861794/?type=3,148528951956339_802807533195141,119,4,3,148528951956339_802807533195141
148528951956339,H√©ctor Baldassi,"Feliz de haber participado anoche en la apertura de la Feria del Libro de Arroyito.

Buen s√°bado para todos!",2016-10-22T11:54:30+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.300584306750802.1073741838.148528951956339/802007153275179/?type=3,148528951956339_802006859941875,93,0,2,148528951956339_802006859941875
148528951956339,H√©ctor Baldassi,"Les comparto por ac√° mi intervenci√≥n en la C√°mara, el mi√©rcoles por la noche.",2016-10-21T15:59:40+0000,video,https://youtu.be/BScDkle0IoE,148528951956339_801442716664956,76,5,9,148528951956339_801442716664956
148528951956339,H√©ctor Baldassi,"A seguir la lucha contra el #C√°ncerDeMama. Y a tomar conciencia! 

#MovimientoRosa",2016-10-19T23:50:02+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.300584306750802.1073741838.148528951956339/800375793438315/?type=3,148528951956339_800375760104985,214,5,13,148528951956339_800375760104985
148528951956339,H√©ctor Baldassi,#NIUNAMENOS,2016-10-19T11:50:39+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.300584306750802.1073741838.148528951956339/800015180141043/?type=3,148528951956339_800015123474382,153,2,30,148528951956339_800015123474382
148528951956339,H√©ctor Baldassi,"MI VIEJA, ESA QUE TODOS NOMBRABAN, HOY SALUDA A TU MAM√Å. 

Feliz d√≠a! ‚ù§Ô∏è",2016-10-16T14:13:30+0000,video,https://www.facebook.com/hectorbaldassi/videos/798126066996621/,148528951956339_798125813663313,675,92,74,148528951956339_798125813663313
148528951956339,H√©ctor Baldassi,"BROCHERO SANTO! 

¬°Qu√© hermoso ver La Catedral de C√≥rdoba as√≠ a esta hora!",2016-10-16T08:39:17+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.157260014416566.39515.148528951956339/797949823680912/?type=3,148528951956339_797949823680912,315,6,14,148528951956339_797949823680912
148528951956339,H√©ctor Baldassi,NA,2016-10-15T18:17:25+0000,photo,https://www.facebook.com/mauriciomacri/photos/a.105382683477.113835.55432788477/10154668400518478/?type=3,148528951956339_797565517052676,287,17,0,148528951956339_797565517052676
148528951956339,H√©ctor Baldassi,NA,2016-10-14T12:21:57+0000,photo,https://www.facebook.com/mauriciomacri/photos/a.105382683477.113835.55432788477/10154661419958478/?type=3,148528951956339_796656403810254,136,4,0,148528951956339_796656403810254
148528951956339,H√©ctor Baldassi,"Con Horacio Elizondo, charlando sobre los temas que nos apasionan! 

Est√°s igual pap√°! jaja...",2016-10-12T20:48:01+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.300584306750802.1073741838.148528951956339/795679230574638/?type=3,148528951956339_795679193907975,367,29,9,148528951956339_795679193907975
148528951956339,H√©ctor Baldassi,"D√çA DEL √ÅRBITRO

Les comparto una foto de hoy, en un emotiv√≠simo acto en el que recordamos a los cuatro √°rbitros que murieron en un accidente de tr√°nsito el a√±o pasado.

Mi acompa√±amiento total a sus familias. Ac√° estoy para lo que necesiten.",2016-10-11T23:49:16+0000,photo,https://www.facebook.com/hectorbaldassi/photos/a.300584306750802.1073741838.148528951956339/795171183958776/?type=3,148528951956339_795170900625471,123,1,4,148528951956339_795170900625471
