from_id,from_name
253898394637965,Luciana Echevarría
771439416332754,Dante Rossi.  UCR
359201054453918,Eduardo Fernandez
148528951956339,Héctor Baldassi
257679404318059,Liliana Olivero
123530744345390,Martín Llaryora
2026586674236233,Pablo Carro
