from_id,from_name,message,created_time,type,link,id,likes_count,comments_count,shares_count,post_number
253898394637965,Luciana Echevarría,"Hoy imputaron por femicidio al hijo de Maru Cadamuro. Para hacerlo tuvieron en cuenta el fallo que el TSJ publicó sobre el femicidio de Pao, tras nuestra apelación. Una muestra más de que nuestra lucha no fue en vano. Vamos a seguir dando la pelea para conquistar una vida sin violencias y la igualdad para todas! 
¡Justicia por Maru Cadamuro! ¡Paola Acosta presente!",2017-06-29T22:11:49+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1821680834526372/?type=3,253898394637965_1821680834526372,122,4,47,1821680834526372
253898394637965,Luciana Echevarría,"En este día internacional del Orgullo LGBTIQ renovamos el compromiso de luchar hasta que la igualdad se haga costumbre. 
Seguiremos defendiendo las históricas conquistas logradas hasta hoy. Y daremos pelea junto a la diversidad y a la disidencia sexual, porque sus exigencias no son utopías, SON DERECHOS.",2017-06-28T14:48:29+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1819485264745929/?type=3,253898394637965_1819485264745929,96,0,39,1819485264745929
253898394637965,Luciana Echevarría,"Hoy a las 22hs podés verme en Al fin y al cabo por Canal C Córdoba, en Canal 7 de Cablevision o en www.canalc.com.ar. Conversando sobre nuestras propuestas y proyectos. 
Vamos con #IzquierdaAlFrente al Congreso para que nuestros derechos sean ley!",2017-06-27T23:28:27+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1818627228165066/?type=3,253898394637965_1818627228165066,82,3,32,1818627228165066
253898394637965,Luciana Echevarría,"#Hoy los medios reflejan la presentación de nuestra lista. Una alternativa de izquierda, unitaria, amplia y con vocación de poder. Vamos con las mujeres, la juventud y los trabajadores al frente!",2017-06-26T20:29:38+0000,link,http://www.cba24n.com.ar/content/izquierda-al-frente-por-la-igualdad-en-todos-los-ambitos,253898394637965_1817251611635961,83,3,21,1817251611635961
253898394637965,Luciana Echevarría,¡Allá vamos!,2017-06-24T22:37:53+0000,photo,https://www.facebook.com/253898394637965/photos/a.253898827971255.75808.253898394637965/1814995625194893/?type=3,253898394637965_1814995625194893,120,1,0,1814995625194893
253898394637965,Luciana Echevarría,NA,2017-06-24T22:27:02+0000,photo,https://www.facebook.com/253898394637965/photos/a.552203311474137.136555.253898394637965/1814986265195829/?type=3,253898394637965_1814986265195829,57,0,13,1814986265195829
253898394637965,Luciana Echevarría,"Representar este nuevo proyecto de espíritu unitario, que cuenta con la fuerza de la juventud, de las mujeres que luchan y  la convicción de los trabajadores, es un verdadero orgullo. Y sobre todo, estar acompañada por docentes, trabajadores de la salud, referentes de la lucha contra la violencia de género y jóvenes activistas en defensa del medio ambiente. 
Vamos con Izquierda al Frente por el Socialismo, para que nuestros reclamos, luchas y anhelos tengan banca en el Congreso",2017-06-24T20:14:28+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1814887201872402/?type=3,253898394637965_1814887201872402,78,3,48,1814887201872402
253898394637965,Luciana Echevarría,"Hay muchas cosas para decir sobre el gobierno de Ramon Javier Mestre, no? El problema es que al intendente no le importan, por eso pregunta lo que quiere en su #ConsultaPopular.
Acá van algunas preguntas que tienen más que ver con la realidad de la ciudad…
Vos, ¿qué le preguntarías?",2017-06-23T21:26:35+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1813853258642463/?type=3,253898394637965_1813853865309069,62,6,41,1813853865309069
253898394637965,Luciana Echevarría,"Mestre convocó a una consulta popular en la ciudad. Pero no para preguntarnos sobre la calidad y el costo de los servicios, ni sobre los altísimos impuestos que que nos cobra, ni sobre los baches, ni las cloacas, ni nada… Las preguntas se parecen más a estas. #ConsultaPopular",2017-06-23T19:00:56+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1813723721988750/?type=3,253898394637965_1813724478655341,92,7,88,1813724478655341
253898394637965,Luciana Echevarría,"Ayer nos manifestamos frente a la legislatura rechazando el proyecto que declara servicio esencial el transporte. Con el perímetro vallado y rodeados de policías, el PJ y la UCR se pusieron de acuerdo una vez más para cercenar los derechos de todos los que trabajamos. 
Si les preocupa el transporte y quieren evitar los paros hace falta garantizar salarios dignos e invertir en el servicio, no votar leyes absurdas e inconstitucionales, que atacan a los de abajo.",2017-06-15T21:00:52+0000,link,http://bit.ly/2rwcq9u,253898394637965_1804689869558802,33,0,13,1804689869558802
